,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
64,Ci̇hannuma mah,41.0472111,29.0074387,4b66f145f964a52075312be3,Turkcell Plaza Fitness Center,41.048224419652676,29.00871466651929,155,Gym
197,Bebek mah,41.0777437,29.0416286,4b703459f964a520830b2de3,Mars Athletic Club,41.07591915184542,29.038231613780408,350,Gym / Fitness Center
223,Eti̇ler mah,41.0870419,29.0372643,4b7aed0ef964a52089462fe3,Hillside City Club,41.08799296097711,29.031091034581483,528,Gym / Fitness Center
200,Bebek mah,41.0777437,29.0416286,4ba67962f964a520265639e3,Celebrity Fitness,41.081342,29.03598,620,Gym
413,Kultur mah,41.0732019,29.0329,4bc89f2192b376b0bdcb513a,Maya sports center,41.07642511066118,29.02915775768115,476,Gym / Fitness Center
137,Akat mah,41.0856143,29.0256257,4be97d20c5220f478ee2aaca,Club Sporium,41.08689088147605,29.024003065024285,196,Gym / Fitness Center
401,Kultur mah,41.0732019,29.0329,4c14c74682a3c9b66bbcfdf8,Mayadrom Sports Center(MSC),41.07728053515671,29.032697680815467,454,Gym
739,Vi̇snezade mah,41.0415031,28.9987081,4c37666c93db0f4737b51f92,Mars Athletic Club,41.04376499528724,28.992380709711895,587,Gym / Fitness Center
628,Muradi̇ye mah,41.0484504,28.9987081,4c4ae6c79c8d2d7fe10e316a,İTÜ Havuz,41.046354219027144,28.99592248122572,330,Gym Pool
48,Ci̇hannuma mah,41.0472111,29.0074387,4c51ab6b1c67ef3be50f1bb9,The Alaaddin Club,41.0472598157611,29.007811213202093,31,Gym / Fitness Center
161,Akat mah,41.0856143,29.0256257,4c585cd0d12a20a1a2d768bd,Şişli Terakki Spor Salonu,41.08194566735712,29.024032317117285,429,Gym
352,Gayrettepe mah,41.0641962,29.0067111,4c6667d6e75ac9280676f7da,Essporto Health & Fitness Club,41.065584954467546,29.010558128356934,357,Gym / Fitness Center
434,Levazim mah,41.06331369999999,29.0183512,4c6fc3e79c6d6dcba464d07a,Korukent Gym,41.060259311722284,29.020800170603696,397,Gym / Fitness Center
719,Vi̇snezade mah,41.0415031,28.9987081,4c96571203413704ac9483ef,Swiss Otel Gym,41.04082141366043,28.997064280627697,157,Gym
659,Muradi̇ye mah,41.0484504,28.9987081,4c990c719c663704c5bf4cfd,Action gym,41.052083,28.995858,469,Gym / Fitness Center
327,Gayrettepe mah,41.0641962,29.0067111,4cb076a3cbab236adb65a073,Point Sports Center,41.06392584214797,29.010653306292383,332,Gym / Fitness Center
287,Di̇ki̇li̇tas mah,41.0557351,29.003801,4cbe86b6021ca143ba06560c,Sportomed,41.05619713102739,28.998301682542,464,Gym / Fitness Center
427,Kultur mah,41.0732019,29.0329,4cc172a6083a9c7440223778,U-Time Wellness,41.071245771040914,29.027684619698412,488,Gym / Fitness Center
435,Levazim mah,41.06331369999999,29.0183512,4cc70557c844721ec909f801,Jandarma Spor Salonu,41.063215797353,29.015418120340108,246,Gym / Fitness Center
136,Akat mah,41.0856143,29.0256257,4cd04f637b685481f3c5c0f8,Club Sporium Havuz,41.086680670399375,29.024264780690363,164,Gym Pool
488,Ni̇sbeti̇ye mah,41.0717724,29.021261,4ced3a2728abb60ca1b8b609,GfiT,41.072876,29.019238,209,Gym
277,Di̇ki̇li̇tas mah,41.0557351,29.003801,4cf628caf4478eecdc8710b7,BJK Süleyman Seba Spor Salonu,41.05487175258832,29.001927528829505,184,Gym
304,Di̇ki̇li̇tas mah,41.0557351,29.003801,4cf7e30bd3a8a1cd432fd943,Es-line Pilates Studio,41.05646039089998,28.99850230292629,452,Yoga Studio
150,Akat mah,41.0856143,29.0256257,4cf904d4d76da35d9354ca2c,Cihnagir Yoga,41.08695,29.021643,365,Yoga Studio
315,Di̇ki̇li̇tas mah,41.0557351,29.003801,4d1393e2058fa35d3e5d2f9f,Meriç Gym,41.058593,29.006045,369,Gym / Fitness Center
563,Levent mah,41.0818288,29.0183512,4d14493d85fc6dcbaa92964e,Cengizhanucgun Pilates,41.08401952477326,29.013582066167853,468,Gym / Fitness Center
306,Di̇ki̇li̇tas mah,41.0557351,29.003801,4d18dc346c8b5481f552f4cc,The One Terrace Sports Club,41.05472040088477,28.99890188117499,426,Gym / Fitness Center
466,Ni̇sbeti̇ye mah,41.0717724,29.021261,4d29f373915fa093f1a30a0a,Belluve Gym,41.07070533780923,29.018350078844893,271,Gym
220,Bebek mah,41.0777437,29.0416286,4d2f2ab9e043548174d8b6ed,Beyond Pilates,41.07875709298704,29.03539527872138,535,Gym / Fitness Center
205,Bebek mah,41.0777437,29.0416286,4d31776df8c9224b9a31a7d2,Etiler Life Gym VIP,41.08135023759447,29.0360118997642,619,Gym / Fitness Center
569,Levent mah,41.0818288,29.0183512,4d3725eac47db1f7532feda5,Reflex Point,41.085044,29.020177,389,Yoga Studio
491,Ni̇sbeti̇ye mah,41.0717724,29.021261,4d4a33d583eda1cdb555b0b1,Lotus YA Levent,41.074734,29.017723,443,Yoga Studio
299,Di̇ki̇li̇tas mah,41.0557351,29.003801,4d6a60041a88b1f70c04375d,Polat Towerside Gym Club,41.056789074666135,28.99902845236649,417,Gym
532,Konaklar mah,41.0934402,29.0139863,4d761570ec646dcb82abf510,Gym House,41.088755,29.012857,530,Gym
406,Kultur mah,41.0732019,29.0329,4d78bdc2109eb1f730dd5306,Ulus Body & Fitness,41.07059788850618,29.02814956049052,492,Gym / Fitness Center
522,Ulus mah,41.0632296,29.0270806,4d7cf6aef260a093968043ba,Platin Gym,41.062021092240116,29.029449054404783,240,Yoga Studio
417,Kultur mah,41.0732019,29.0329,4d80855f6bd8b60cb24d4a7c,D's Pilates,41.07198539962715,29.029054960823434,349,Gym / Fitness Center
152,Akat mah,41.0856143,29.0256257,4d95cd7ab188721e55a4e636,Gym Schutzwaffe,41.0814632,29.025064675,464,Gym
238,Eti̇ler mah,41.0870419,29.0372643,4d9602ff0caaa143df746cb3,Oxygen GYM,41.08600103640638,29.043263841977687,516,Gym
196,Bebek mah,41.0777437,29.0416286,4d9b30ba03d8721ebfd5e124,Baps 'Body Arts Pilates Studio',41.077546642193305,29.04246113760111,73,Gym / Fitness Center
218,Bebek mah,41.0777437,29.0416286,4da47b620f578cfa57f9cf18,BBL Gym,41.078397,29.044911,284,Gym
492,Ni̇sbeti̇ye mah,41.0717724,29.021261,4dac54c35da3ba8a47b3b43f,Pilates studio,41.07507898983189,29.024122542310426,439,Yoga Studio
565,Levent mah,41.0818288,29.0183512,4db29a5643a17e74378d0d7a,Yogha,41.08493009954095,29.01589307615362,402,Yoga Studio
523,Konaklar mah,41.0934402,29.0139863,4dbae5066e815ab0de5d1845,Harp Akademileri Spor Salonu,41.09407413467154,29.014046345622138,70,Gym
94,Si̇nanpasa mah,41.0418657,29.0051116,4dc2cbc945ddd5b5b6b4b5bc,Ota Gym,41.04217125408577,29.004641869615345,52,Gym
176,Kurucesme mah,41.0616299,29.0329,4dc41c0e18387d1bd51a5e60,Caudalie Spa & Fitness,41.05887224633784,29.036134846579007,409,Gym / Fitness Center
545,Levent mah,41.0818288,29.0183512,4dcbaacfd4c0dfa030d4c599,Yapı Kredi Plaza D Blok Spor Salonu,41.081403265643665,29.01416528690401,354,Gym
635,Muradi̇ye mah,41.0484504,28.9987081,4dd299cfae60fb3f53c486f8,Nis Plates,41.051373646865365,28.99824349336589,327,Gym / Fitness Center
60,Ci̇hannuma mah,41.0472111,29.0074387,4dd2a4a9d16465f3f95719c6,Pilates point studio nisantasi,41.04939958481878,29.00168370603336,541,Gym / Fitness Center
213,Bebek mah,41.0777437,29.0416286,4dda8fa41f6ee146836d0044,Life Gym,41.0813318338397,29.035972327861494,620,Gym
595,Ortakoy mah,41.0539703,29.0270806,4de0b20dc65bcc724f460522,Frog Yoga & Pilates,41.05365894309017,29.029492798511395,205,Yoga Studio
549,Levent mah,41.0818288,29.0183512,4decc12efa76cc1b8b1e7abc,Dr.Ender Saraç,41.07709364534733,29.014945609097637,599,Yoga Studio
219,Bebek mah,41.0777437,29.0416286,4decf4d722713dd973d238fc,Hero House Pilates,41.080768451590025,29.03606604580401,575,Gym / Fitness Center
239,Eti̇ler mah,41.0870419,29.0372643,4dfc661fb0fb84d7ace0142d,Joy Pilates Etiler,41.08469504505284,29.03365048171919,400,Gym / Fitness Center
146,Akat mah,41.0856143,29.0256257,4e042b37e4cd92cb899cafc4,Parkmaya Site Havuzu,41.085917724800915,29.02191711607842,312,Gym Pool
593,Meci̇di̇ye mah,41.0509393,29.021261,4e0db686fa76d62f4440ef68,Bross Pilates Studio,41.055226444141354,29.019536586897033,498,Gym / Fitness Center
47,Ci̇hannuma mah,41.0472111,29.0074387,4e116520b3adf2a0f5a2d5c6,Health Club & Spa Soul,41.046996497844404,29.008914572004947,126,Gym / Fitness Center
398,Kultur mah,41.0732019,29.0329,4e15e3aad4c0e3d78b3117cb,Fitin 15,41.069063735302,29.03000452145216,520,Gym
525,Konaklar mah,41.0934402,29.0139863,4e22a52d62e1964dbb73daae,Spor Salonu @lojmanlar,41.09494090201608,29.01594991099612,234,Gym
507,Ulus mah,41.0632296,29.0270806,4e22f6cce4cdf68591949534,Çamlıtepe Sitesi Pool&cafe,41.06324083970215,29.029924959954645,238,Gym Pool
529,Konaklar mah,41.0934402,29.0139863,4e2700da483b329ccb4057c7,Terrace Studio,41.092101037751675,29.018914583935118,439,Yoga Studio
251,Balmumcu mah,41.0591046,29.0147137,4e2ec1961838f1c552bd52b2,The Plaza Hotel GYM,41.06263508918066,29.011511991107366,476,Gym
367,Gayrettepe mah,41.0641962,29.0067111,4e37156b091ae705a0f9af26,TTNET Gym,41.069137203586266,29.005187683250835,564,Gym
407,Kultur mah,41.0732019,29.0329,4e64e94fd22d509a3aaa5fe1,N-Fit Pilates Studio,41.071450083315064,29.02987085363713,320,Gym / Fitness Center
54,Ci̇hannuma mah,41.0472111,29.0074387,4e687b1e52b128a09ebdf3b2,Nafiz Başaran Boks Okulu,41.044646909010915,29.007325334531394,285,Gym / Fitness Center
496,Ni̇sbeti̇ye mah,41.0717724,29.021261,4e68fc91d22df5c11f8d8805,LFB - Kempinski,41.07036353339015,29.01812723795283,306,Gym / Fitness Center
544,Levent mah,41.0818288,29.0183512,4e79ea90b61c0c4cb56323e2,Aristo Sports Center,41.082295,29.014773,304,Gym
487,Ni̇sbeti̇ye mah,41.0717724,29.021261,4e7d9d89f7900294813f1f5d,My Yoga Mat,41.06928467274159,29.02017268094982,291,Yoga Studio
264,Balmumcu mah,41.0591046,29.0147137,4e89be292c5b673ad54cd1e7,B-Fit Balmumcu,41.061955332271616,29.01139223559897,422,Gym
580,Meci̇di̇ye mah,41.0509393,29.021261,4e89cdf1cc212845e5b07aeb,Rocky Gym,41.05307653761488,29.023514355067146,303,Gym
281,Di̇ki̇li̇tas mah,41.0557351,29.003801,4e89e54b7ee6a22446669cf9,Tunc Fight Club,41.056498642514555,29.002957741339845,110,Gym
288,Di̇ki̇li̇tas mah,41.0557351,29.003801,4e89f9724690ceb3f17adc1d,Mi Estilo Fitness & Spa,41.0559321203853,29.00812226769699,363,Gym / Fitness Center
673,Turkali̇ mah,41.0476515,29.00161829999999,4e8edadeb803483190689f53,Sports Center Besiktas,41.046074353535474,28.99941008498178,255,Gym
579,Meci̇di̇ye mah,41.0509393,29.021261,4e931eb055037de99d9cefab,Rocky Sports Center,41.05310765711649,29.023491148468874,305,Gym / Fitness Center
497,Ni̇sbeti̇ye mah,41.0717724,29.021261,4e9360a28b81592e629995df,Gokahmet's fitness center,41.068643233396365,29.025378520083578,490,Gym
296,Di̇ki̇li̇tas mah,41.0557351,29.003801,4e995f618b81f3191334635f,Blue Vision Fitness Akademi,41.05443864953047,29.00756479569031,347,Gym / Fitness Center
217,Bebek mah,41.0777437,29.0416286,4e99efd261afc418b981b041,Yoga,41.08189792072819,29.043296394436826,483,Yoga Studio
272,Balmumcu mah,41.0591046,29.0147137,4e9d4b9602d527780616d531,World Class Fitness Center,41.05588625274689,29.008225863146063,651,Gym
18,Abbasaga mah,41.0480102,29.0045285,4ea98d24490158681b0d5fc1,The One Sports,41.046960504403955,29.00492924187871,121,Gym / Fitness Center
387,Yildiz mah,41.0471495,29.0139863,4eadaee89911d5c951671ee4,H&M,41.04429863659589,29.016881999412306,399,Yoga Studio
389,Yildiz mah,41.0471495,29.0139863,4eaeb68882315d0ca61f6999,Mini Ven,41.04465,29.016533,350,Yoga Studio
474,Ni̇sbeti̇ye mah,41.0717724,29.021261,4ec2ac6b9adf5630f701a3e0,Dogakent Sitesi Spor Salonu,41.06846288878127,29.023271250352046,405,Gym
594,Meci̇di̇ye mah,41.0509393,29.021261,4ec51678f790c16e5238c264,Ortakoy Princess Hotel Saglikli Yasam Merkezi,41.04935431174121,29.026488707676013,473,Gym
710,Turkali̇ mah,41.0476515,29.00161829999999,4ecd1e4a2c5b26aab95c9c7d,Ahalya Pilates,41.048542397290255,28.995448220060943,527,Yoga Studio
357,Gayrettepe mah,41.0641962,29.0067111,4ed2590ce3007feb7fca72a5,NYG Fitness Center,41.06758963167435,29.00586139713452,384,Gym
132,Si̇nanpasa mah,41.0418657,29.0051116,4ed3d7c399114b488c0c5a3c,Milli Saraylar Spor Salonu,41.04692,29.00436,566,Gym
513,Ulus mah,41.0632296,29.0270806,4ed7f2e993adde11f9a39076,"Eryuruk Inn ""3rd Floor Gym""",41.06451455767521,29.026532191962865,150,Gym
516,Ulus mah,41.0632296,29.0270806,4eeb3538b634b469c34e7ba3,Mef Konutlari Gym Center,41.06284981867304,29.023792917480986,279,Gym
