City;Town;Neighborhood;Borough;Post Code
İSTANBUL                      ;BEŞİKTAŞ                      ;ABBASAĞA                      ;ABBASAĞA MAH                                                               ;34022
İSTANBUL                      ;BEŞİKTAŞ                      ;ABBASAĞA                      ;CİHANNÜMA MAH                                                              ;34022
İSTANBUL                      ;BEŞİKTAŞ                      ;ABBASAĞA                      ;SİNANPAŞA MAH                                                              ;34022
İSTANBUL                      ;BEŞİKTAŞ                      ;AKATLAR                       ;AKAT MAH                                                                   ;34335
İSTANBUL                      ;BEŞİKTAŞ                      ;ARNAVUTKÖY                    ;ARNAVUTKÖY MAH                                                             ;34345
İSTANBUL                      ;BEŞİKTAŞ                      ;ARNAVUTKÖY                    ;KURUÇEŞME MAH                                                              ;34345
İSTANBUL                      ;BEŞİKTAŞ                      ;BEBEK                         ;BEBEK MAH                                                                  ;34342
İSTANBUL                      ;BEŞİKTAŞ                      ;ETİLER                        ;ETİLER MAH                                                                 ;34337
İSTANBUL                      ;BEŞİKTAŞ                      ;GAYRETTEPE                    ;BALMUMCU MAH                                                               ;34349
İSTANBUL                      ;BEŞİKTAŞ                      ;GAYRETTEPE                    ;DİKİLİTAŞ MAH                                                              ;34349
İSTANBUL                      ;BEŞİKTAŞ                      ;GAYRETTEPE                    ;GAYRETTEPE MAH                                                             ;34349
İSTANBUL                      ;BEŞİKTAŞ                      ;GAYRETTEPE                    ;YILDIZ MAH                                                                 ;34349
İSTANBUL                      ;BEŞİKTAŞ                      ;LEVAZIM                       ;KÜLTÜR MAH                                                                 ;34340
İSTANBUL                      ;BEŞİKTAŞ                      ;LEVAZIM                       ;LEVAZIM MAH                                                                ;34340
İSTANBUL                      ;BEŞİKTAŞ                      ;LEVAZIM                       ;NİSBETİYE MAH                                                              ;34340
İSTANBUL                      ;BEŞİKTAŞ                      ;LEVAZIM                       ;ULUS MAH                                                                   ;34340
İSTANBUL                      ;BEŞİKTAŞ                      ;LEVENT                        ;KONAKLAR MAH                                                               ;34330
İSTANBUL                      ;BEŞİKTAŞ                      ;LEVENT                        ;LEVENT MAH                                                                 ;34330
İSTANBUL                      ;BEŞİKTAŞ                      ;ORTAKÖY                       ;MECİDİYE MAH                                                               ;34347
İSTANBUL                      ;BEŞİKTAŞ                      ;ORTAKÖY                       ;ORTAKÖY MAH                                                                ;34347
İSTANBUL                      ;BEŞİKTAŞ                      ;TÜRKALİ                       ;MURADİYE MAH                                                               ;34357
İSTANBUL                      ;BEŞİKTAŞ                      ;TÜRKALİ                       ;TÜRKALİ MAH                                                                ;34357
İSTANBUL                      ;BEŞİKTAŞ                      ;TÜRKALİ                       ;VİŞNEZADE MAH                                                              ;34357
İSTANBUL                      ;KADIKÖY                       ;BOSTANCI                      ;BOSTANCI MAH                                                               ;34744
İSTANBUL                      ;KADIKÖY                       ;CADDEBOSTAN                   ;CADDEBOSTAN MAH                                                            ;34728
İSTANBUL                      ;KADIKÖY                       ;CAFERAĞA                      ;CAFERAĞA MAH                                                               ;34710
İSTANBUL                      ;KADIKÖY                       ;EĞİTİM                        ;EĞİTİM MAH                                                                 ;34722
İSTANBUL                      ;KADIKÖY                       ;EĞİTİM                        ;HASANPAŞA MAH                                                              ;34722
İSTANBUL                      ;KADIKÖY                       ;ERENKÖY                       ;ERENKÖY MAH                                                                ;34738
İSTANBUL                      ;KADIKÖY                       ;FENERBAHÇE                    ;FENERBAHÇE MAH                                                             ;34726
İSTANBUL                      ;KADIKÖY                       ;FENERYOLU                     ;FENERYOLU MAH                                                              ;34724
İSTANBUL                      ;KADIKÖY                       ;FENERYOLU                     ;ZÜHTÜPAŞA MAH                                                              ;34724
İSTANBUL                      ;KADIKÖY                       ;FİKİRTEPE                     ;DUMLUPINAR MAH                                                             ;34720
İSTANBUL                      ;KADIKÖY                       ;FİKİRTEPE                     ;FİKİRTEPE MAH                                                              ;34720
İSTANBUL                      ;KADIKÖY                       ;GÖZTEPE                       ;GÖZTEPE MAH                                                                ;34730
İSTANBUL                      ;KADIKÖY                       ;KOŞUYOLU                      ;ACIBADEM MAH                                                               ;34718
İSTANBUL                      ;KADIKÖY                       ;KOŞUYOLU                      ;KOŞUYOLU MAH                                                               ;34718
İSTANBUL                      ;KADIKÖY                       ;KOZYATAĞI                     ;KOZYATAĞI MAH                                                              ;34742
İSTANBUL                      ;KADIKÖY                       ;MERDİVENKÖY                   ;MERDİVENKÖY MAH                                                            ;34732
İSTANBUL                      ;KADIKÖY                       ;ONDOKUZMAYIS                  ;19 MAYIS MAH                                                               ;34736
İSTANBUL                      ;KADIKÖY                       ;OSMANAĞA                      ;OSMANAĞA MAH                                                               ;34714
İSTANBUL                      ;KADIKÖY                       ;RASİMPAŞA                     ;RASİMPAŞA MAH                                                              ;34716
İSTANBUL                      ;KADIKÖY                       ;SAHRAYICEDİT                  ;SAHRAYICEDİT MAH                                                           ;34734
İSTANBUL                      ;KADIKÖY                       ;SUADİYE                       ;SUADİYE MAH                                                                ;34740
