,City,Town,Neighborhood,Borough,Post Code,lat,lng
0,İstanbul,Besi̇ktas,Abbasaga,Abbasaga mah,34022,41.0480102,29.0045285
1,İstanbul,Besi̇ktas,Abbasaga,Ci̇hannuma mah,34022,41.0472111,29.0074387
2,İstanbul,Besi̇ktas,Abbasaga,Si̇nanpasa mah,34022,41.0418657,29.0051116
3,İstanbul,Besi̇ktas,Akatlar,Akat mah,34335,41.0856143,29.0256257
4,İstanbul,Besi̇ktas,Arnavutkoy,Arnavutkoy mah,34345,41.0684875,29.0416286
5,İstanbul,Besi̇ktas,Arnavutkoy,Kurucesme mah,34345,41.0616299,29.0329
6,İstanbul,Besi̇ktas,Bebek,Bebek mah,34342,41.0777437,29.0416286
7,İstanbul,Besi̇ktas,Eti̇ler,Eti̇ler mah,34337,41.0870419,29.0372643
8,İstanbul,Besi̇ktas,Gayrettepe,Balmumcu mah,34349,41.0591046,29.0147137
9,İstanbul,Besi̇ktas,Gayrettepe,Di̇ki̇li̇tas mah,34349,41.0557351,29.003801
10,İstanbul,Besi̇ktas,Gayrettepe,Gayrettepe mah,34349,41.0641962,29.0067111
11,İstanbul,Besi̇ktas,Gayrettepe,Yildiz mah,34349,41.0471495,29.0139863
12,İstanbul,Besi̇ktas,Levazim,Kultur mah,34340,41.0732019,29.0329
13,İstanbul,Besi̇ktas,Levazim,Levazim mah,34340,41.06331369999999,29.0183512
14,İstanbul,Besi̇ktas,Levazim,Ni̇sbeti̇ye mah,34340,41.0717724,29.021261
15,İstanbul,Besi̇ktas,Levazim,Ulus mah,34340,41.0632296,29.0270806
16,İstanbul,Besi̇ktas,Levent,Konaklar mah,34330,41.0934402,29.0139863
17,İstanbul,Besi̇ktas,Levent,Levent mah,34330,41.0818288,29.0183512
18,İstanbul,Besi̇ktas,Ortakoy,Meci̇di̇ye mah,34347,41.0509393,29.021261
19,İstanbul,Besi̇ktas,Ortakoy,Ortakoy mah,34347,41.0539703,29.0270806
20,İstanbul,Besi̇ktas,Turkali̇,Muradi̇ye mah,34357,41.0484504,28.9987081
21,İstanbul,Besi̇ktas,Turkali̇,Turkali̇ mah,34357,41.0476515,29.00161829999999
22,İstanbul,Besi̇ktas,Turkali̇,Vi̇snezade mah,34357,41.0415031,28.9987081
23,İstanbul,Kadikoy,Bostanci,Bostanci mah,34744,40.9583172,29.0968982
24,İstanbul,Kadikoy,Caddebostan,Caddebostan mah,34728,40.9679267,29.0619934
25,İstanbul,Kadikoy,Caferaga,Caferaga mah,34710,40.9837196,29.0256257
26,İstanbul,Kadikoy,Egi̇ti̇m,Egi̇ti̇m mah,34722,40.9896682,29.0503567
27,İstanbul,Kadikoy,Egi̇ti̇m,Hasanpasa mah,34722,40.9966818,29.0438107
28,İstanbul,Kadikoy,Erenkoy,Erenkoy mah,34738,40.9731949,29.0765381
29,İstanbul,Kadikoy,Fenerbahce,Fenerbahce mah,34726,40.97428620000001,29.0430833
30,İstanbul,Kadikoy,Feneryolu,Feneryolu mah,34724,40.9819573,29.04890199999999
31,İstanbul,Kadikoy,Feneryolu,Zuhtupasa mah,34724,40.9859157,29.0387191
32,İstanbul,Kadikoy,Fi̇ki̇rtepe,Dumlupinar mah,34720,40.9942188,29.05908429999999
33,İstanbul,Kadikoy,Fi̇ki̇rtepe,Fi̇ki̇rtepe mah,34720,40.9943025,29.0503567
34,İstanbul,Kadikoy,Goztepe,Goztepe mah,34730,40.9771558,29.066357
35,İstanbul,Kadikoy,Kosuyolu,Acibadem mah,34718,41.0021363,29.0387191
36,İstanbul,Kadikoy,Kosuyolu,Kosuyolu mah,34718,41.0090866,29.0387191
37,İstanbul,Kadikoy,Kozyatagi,Kozyatagi mah,34742,40.9691471,29.095444
38,İstanbul,Kadikoy,Merdi̇venkoy,Merdi̇venkoy mah,34732,40.9864251,29.066357
39,İstanbul,Kadikoy,Ondokuzmayis,19 mayis mah,34736,40.97462609999999,29.0881728
40,İstanbul,Kadikoy,Osmanaga,Osmanaga mah,34714,40.9914317,29.0270806
41,İstanbul,Kadikoy,Rasi̇mpasa,Rasi̇mpasa mah,34716,40.9960665,29.0270806
42,İstanbul,Kadikoy,Sahrayicedi̇t,Sahrayicedi̇t mah,34734,40.9894,29.0798
43,İstanbul,Kadikoy,Suadi̇ye,Suadi̇ye mah,34740,40.963081,29.0838099
