,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
36,Caddebostan mah,40.9679267,29.0619934,4bdfd536be5120a15ec2fe70,Powerfull Atlethic Club,40.967526682625326,29.06493970513108,251,Gym
588,Rasi̇mpasa mah,40.9960665,29.0270806,4be31013660ec9287609cb3b,Sports,41.0003,29.031012,575,Gym
254,Feneryolu mah,40.9819573,29.04890199999999,4be4544d2468c928419dfe42,Eaglestar Fitness and Body Form Club,40.97875071727069,29.047984598646106,365,Gym
504,Osmanaga mah,40.9914317,29.0270806,4bf78371bb5176b0c3385bb2,Sports Universe,40.988532601270286,29.024473913997166,390,Gym
89,Caferaga mah,40.9837196,29.0256257,4c62e4dbfa7bc928cc380f27,Airport Form Center,40.98536263220273,29.02120798590364,413,Gym / Fitness Center
67,Caddebostan mah,40.9679267,29.0619934,4caf3964562d224b092c0c88,Sports Time,40.96457370582456,29.06599885194003,502,Gym
462,19 mayis mah,40.97462609999999,29.0881728,4cc444b382388cfae5b46d35,Gengym Health & Fitness,40.97422147363377,29.090556422316993,205,Gym
407,Kozyatagi mah,40.9691471,29.095444,4cd7fdd2a99d370447c402ce,Max Gym Fitness Studio,40.971370059375566,29.094729118267065,254,Gym / Fitness Center
215,Fenerbahce mah,40.97428620000001,29.0430833,4cdad42f6ad1a0931883e856,Anantara Spa,40.97272300309572,29.043529375507173,178,Gym / Fitness Center
369,Kosuyolu mah,41.0090866,29.0387191,4ceeaeff13aea14357206f9f,Fashion Sports Club,41.010069103393405,29.042069479592424,301,Gym / Fitness Center
648,Suadi̇ye mah,40.963081,29.0838099,4cfbbfacdccef04dd5d2bc9c,Büyükhanli GYM,40.95948848400348,29.085418437499115,422,Gym / Fitness Center
642,Suadi̇ye mah,40.963081,29.0838099,4d09086c43b36ea8260e30ef,Miltaş Spor Külübü,40.95946589661541,29.087121406486393,489,Gym
232,Feneryolu mah,40.9819573,29.04890199999999,4d0c8f483bbaa14369d336da,Power Fitness Center,40.978388829888544,29.051757357448967,464,Gym
245,Feneryolu mah,40.9819573,29.04890199999999,4d0f90e3d467236a82ddbe4a,Kempinski Spa Cadde,40.982818,29.045389,310,Gym / Fitness Center
3,Bostanci mah,40.9583172,29.0968982,4d12179db64da090e96634e7,Champion Gym Health & Fitness Club,40.95976765965697,29.09213986659914,431,Gym / Fitness Center
483,19 mayis mah,40.97462609999999,29.0881728,4d1d1637dbac2c0f0ee83d35,The Club Gym,40.977169280378575,29.092537737529334,463,Gym
650,Suadi̇ye mah,40.963081,29.0838099,4d20b24be56f6ea84829771d,Altin Bilek Apartmani,40.966248603550746,29.085170453655774,370,Track
419,Kozyatagi mah,40.9691471,29.095444,4d21eaa28629224b9e241f87,GYM,40.96703461204401,29.0952730178833,235,Gym
412,Kozyatagi mah,40.9691471,29.095444,4d2dc2b9fd2e236a4d25f3de,Timur Gym,40.97072339652836,29.09713193956011,225,Gym / Fitness Center
651,Suadi̇ye mah,40.963081,29.0838099,4d372cd44f36a14347344127,Slimming Center,40.958512,29.084415,511,Gym / Fitness Center
404,Kosuyolu mah,41.0090866,29.0387191,4d3ab90234ee37044fc47a9b,Nadir Bozoğlu Sağlıklı Yaşam Danışmanlığı,41.00993709283234,29.036028343455403,245,Gym / Fitness Center
27,Bostanci mah,40.9583172,29.0968982,4d3c163b557d6dcbd05d3744,Bizden 1e,40.955818254303075,29.09444141670218,346,Yoga Studio
289,Zuhtupasa mah,40.9859157,29.0387191,4d3c6046457cb60c6e09efa4,Academic Gym,40.982604436287254,29.037164887084888,391,Gym
385,Kosuyolu mah,41.0090866,29.0387191,4d3f08f68edf370489f4c9a5,Fashion Studio,41.011242888739666,29.042000785916233,365,Yoga Studio
209,Fenerbahce mah,40.97428620000001,29.0430833,4d4562141911a09388bce1d8,Jiva,40.97660079156185,29.04860835882817,531,Yoga Studio
486,19 mayis mah,40.97462609999999,29.0881728,4d4944775129a35dd4a337ac,Tunc spor,40.970446,29.087702,467,Gym
282,Zuhtupasa mah,40.9859157,29.0387191,4d5c2d119c31b60c25fdb1ee,Rock GYM,40.986872,29.034818,344,Gym / Fitness Center
31,Bostanci mah,40.9583172,29.0968982,4d5f5cf39f67f04d840c6cfb,alp yoga,40.9575516618143,29.101314743623124,380,Yoga Studio
477,19 mayis mah,40.97462609999999,29.0881728,4d63e6f8dbeb224b7acfa445,First Step Powerplate,40.974280715305675,29.09293037917603,401,Gym
199,Fenerbahce mah,40.97428620000001,29.0430833,4d653db94e1ea1cd2a334eb9,Istanbul-Kadiköy Özel Kalamis Sanat Merkezi Bale Kursu,40.976744590171066,29.04130227173784,311,Gym / Fitness Center
41,Caddebostan mah,40.9679267,29.0619934,4d69018282cba093a20fd5d8,Merih Kenet Yoga Stüdyosu,40.97062820965702,29.061776384558467,301,Yoga Studio
498,19 mayis mah,40.97462609999999,29.0881728,4d6bde901013236a3dfcb4f9,Tunç Gym,40.97061370867051,29.08763997191983,448,Gym / Fitness Center
126,Caferaga mah,40.9837196,29.0256257,4d6cf47821acf04d1502493a,Balance Point Pilates Studio Moda,40.98027580434377,29.02386111577966,411,Yoga Studio
163,Erenkoy mah,40.9731949,29.0765381,4d7204cdff6ba35dccca678a,Fitness Club,40.97297148994139,29.076200032003825,37,Gym
534,Osmanaga mah,40.9914317,29.0270806,4d7b3e47136bf04d0bac488d,Bogazici Sualti Arastirma Merkezi,40.99230015,29.03152385,385,Gym
303,Dumlupinar mah,40.9942188,29.05908429999999,4d7e3631564b8cfae640ed64,Şampiyon Spor Tesisleri,40.99893331501115,29.062166710939962,585,Gym
645,Suadi̇ye mah,40.963081,29.0838099,4d7e50d74219a1cda89360d3,Paşam Fitness & Health Club,40.963020342466514,29.076652426750417,601,Gym
161,Erenkoy mah,40.9731949,29.0765381,4d80f1b71013236aa2d29135,B-fit,40.97033333483422,29.0805981592092,466,Gym
109,Caferaga mah,40.9837196,29.0256257,4d81c1ee6476a0938e341553,Nefess Atolye,40.98245421320515,29.026792802049002,171,Yoga Studio
221,Fenerbahce mah,40.97428620000001,29.0430833,4d87847d81fdb1f7d84a3ac0,P&L Better Studio,40.9790487124154,29.04162573929742,544,Gym
43,Caddebostan mah,40.9679267,29.0619934,4d88de47401a224b7b108118,Shapemaster,40.96888659749053,29.06482459291504,260,Yoga Studio
482,19 mayis mah,40.97462609999999,29.0881728,4d95fb11c19fb60cbde97265,Cevre Spor Kompleksi,40.975927981944395,29.08237542012545,508,Gym / Fitness Center
572,Rasi̇mpasa mah,40.9960665,29.0270806,4d9b4db19199a090d18eda87,Sports International,41.000173867755855,29.031121244647732,569,Gym
228,Feneryolu mah,40.9819573,29.04890199999999,4da466d17aee5481c5fbfcfe,Atlas Fitness,40.97829905829272,29.051663791250718,468,Gym
655,Suadi̇ye mah,40.963081,29.0838099,4dbbe5b80437955ec02383b6,Power Plate,40.96093574561308,29.079576719992687,428,Gym / Fitness Center
290,Zuhtupasa mah,40.9859157,29.0387191,4dbea60c815439392fc1b56e,Naturel Gym,40.9873219803479,29.04466586344734,523,Gym
329,Goztepe mah,40.9771558,29.066357,4dcaf40d52b17cba4f9da256,KADEV,40.97789015169009,29.070536323433533,360,Martial Arts Dojo
470,19 mayis mah,40.97462609999999,29.0881728,4dcaf917fa76d745f04aa97d,TB Gym,40.973092,29.092649,413,Gym
285,Zuhtupasa mah,40.9859157,29.0387191,4dcc162b52b17cba4fb74073,Hakan Demiray Plates Studio,40.981860412825775,29.04055741964909,477,Yoga Studio
383,Kosuyolu mah,41.0090866,29.0387191,4dd111f2d164679b8d3d7f52,juvenis Veranda,41.009792,29.034877,332,Track
28,Bostanci mah,40.9583172,29.0968982,4def3706d164e99c7b35ae40,Studio Powerland (Power Plate Studio),40.959708304199374,29.092210958436205,423,Gym
623,Suadi̇ye mah,40.963081,29.0838099,4df0f8cdc65b0270f3a61430,Blue Gym,40.96350277224573,29.08155075599686,195,Gym / Fitness Center
646,Suadi̇ye mah,40.963081,29.0838099,4df6397414954f21cf372377,Myramed,40.961513,29.089467,506,Gym
212,Fenerbahce mah,40.97428620000001,29.0430833,4dfcd1d2b61c84188eee159e,Jiva Yaşam Atölyesi,40.97659903610801,29.048444625139872,518,Yoga Studio
